Height,Waist,Shoulder,Hipline,Bust,Length,Arm,Size
165,96,44,106.1,104,78,58,37
164,97.3,44.5,107.1,105.7,78.2,58.5,37
156.5,96.9,44.8,106.2,106.6,78.2,59.2,37
166,96.8,44.7,108.8,107.7,78.1,58.5,37
155.5,97.7,44.5,106.4,105.2,78.9,58.1,37
164,97,44.9,106.9,107.5,78.2,58.9,37
156.5,96.4,44.8,109.2,104.2,78.7,58.7,37
157,97.7,44.3,107,107.9,78.5,59.1,37
159.5,96.4,44.8,106.3,106.6,78.7,58.5,37
161,97.8,44.2,109.4,106.8,78.5,58.5,37
156,97,44.9,109.3,107.8,78.5,58.4,37
162,96.1,44.6,107,107.8,78.8,59.4,37
162.5,97.7,44,109.4,106.2,78.6,58.2,37
159.5,96.9,44.1,106.2,106.2,78.4,58.1,37
156,97.4,44.9,109,106.5,78.7,58.2,37
159.5,96.5,44.6,107.1,105.1,78.2,58.6,37
159.5,96.1,44.4,107.8,107.8,78.7,58.1,37
158.5,97.2,44.6,107.3,105.1,78.7,58.8,37
161.5,97.6,44.6,108.8,106.7,78.1,59.3,37
162.5,96.1,44.6,106.8,106.8,78.6,59.1,37
159.5,97.5,44.8,108.2,104.2,78.7,59.1,37
156,96.8,44.6,108.2,105.9,78.5,58.7,37
162.5,97.4,44.1,107.3,104.1,78.6,58.5,37
163.5,96.7,44.6,108.8,107.5,78.9,58.1,37
164,97.2,44.5,109.5,107.4,78.7,59.4,37
164.5,96.5,44.1,107.5,107.4,78.3,59.3,37
163.5,97.8,44.7,109.5,105.5,78.7,58,37
160.5,97.8,44.1,107.9,105.9,78,58.7,37
155,96.4,44.1,109.3,107.4,78.7,58.2,37
160,97.3,44.9,107.3,107.6,78.4,58.4,37
159,97.8,44.6,108.8,106,78,58.9,37
158,97.3,44.9,107.3,106.3,78.7,58.8,37
158.5,97.2,44.7,106.2,107.1,78.8,59.2,37
162,97.9,44.2,107.5,106.7,78.8,59.1,37
164,96.6,44.5,109.7,105.9,78.2,59.2,37
162.5,96,44.7,107.3,106.5,78.7,59.1,37
163.5,97.6,44.3,106.8,105.2,78,58.9,37
162,97,44,106.2,104.1,78.6,58,37
162,97.4,44.3,107.9,107.5,78,58.1,37
156,97.3,44.3,107.6,105.9,78.1,58.8,37
163.5,97.8,44.1,109.3,104.3,78.2,58.8,37
168,96.2,44.4,107,106.8,78.5,59.4,37
160.5,97.7,44.3,109.6,104.3,78.1,58.1,37
164.5,96.7,44.1,107.5,107.9,78.9,58.4,37
162.5,96.3,44.3,107.8,106.2,78.4,59.1,37
162.5,96.9,44.2,106.3,104.8,78.2,59.4,37
159,96,44.9,106.5,107.8,78.6,58.6,37
160.5,97.8,44,109.6,106.6,78.4,59.1,37
156.5,96.1,44.2,107.5,104.1,78.5,58.6,37
164,96.7,44.5,107.8,104.4,78.7,58.6,37
155,96.6,44.8,109.1,106.8,78.1,58.3,37
163.5,96.9,44,107.2,107.5,78.1,58.8,37
159,96.5,44.1,108.6,107.8,78.2,58.7,37
160.5,96,44.9,109.3,105.9,78.3,59.1,37
161.5,97.4,44.9,108.4,105.1,78.4,58.5,37
162.5,97,44.9,108.4,104.5,78.1,58.8,37
158,96.6,44.8,109.6,104.5,78.7,58.3,37
159.5,97,44,109.3,104.9,78.1,58.1,37
159,97.6,44.8,106.3,104.5,78.9,58.1,37
161,97.1,44.8,108.1,107.4,78.9,59.4,37
162,96.5,44.8,108.8,105.2,78,59.1,37
159,97.1,44.5,109.3,105.1,78.2,58,37
162,96.8,44.9,107.7,104.1,78.1,59.1,37
158,96.6,44.2,107.6,104.5,78.5,58.7,37
155,97.3,44.8,107.8,104,78.4,59.2,37
161.5,97.9,44.8,108.4,107.2,78.6,58.8,37
156,96.4,44.2,108.8,105.6,78.2,58.9,37
162,97.8,44.5,109.8,105.7,78.9,59.3,37
162.5,97.5,44.4,109.5,107.6,78.4,58.3,37
155.5,97.1,44,109.1,104.6,78.7,59.1,37
156.5,96.6,44.3,109.3,105.3,78.2,58.7,37
162,97.4,44.2,109.4,107.4,78.5,59.2,37
164,96.4,44.2,108.4,104.5,78.2,59.3,37
